,date,stake_count,stake_volume,unstake_count,unstake_volume,reserve
0,2022-04-01,111,163426.689624,18,29165.051031999996,134261.638592
1,2022-04-02,43,123869.97301999999,7,44614.545052,213517.06655999998
2,2022-04-03,27,112178.67865299998,8,111565.74883,214129.996383
3,2022-04-04,13,15581.251757999999,6,17814.692399000003,211896.555742
4,2022-04-05,4,10700.034571,6,12951.725166000002,209644.865147
5,2022-04-06,7,105438.68943500001,5,93519.368155,221564.186427
6,2022-04-07,5,30944.720380000002,3,94293.37791200001,158215.528895
7,2022-04-08,4,17076.405015,2,1502.307572,173789.626338
8,2022-04-09,8,34146.367813000004,3,3503.5757980000003,204432.418353
9,2022-04-10,1,6.597417,0,0.0,204439.01577
