,date,sell_count,sell_volume,sell_price,buy_count,buy_volume,buy_price,estimate_fee,price_start,price_end
0,2022-04-01,60,37847.07110000001,0.6339229866852233,74,42852.023906,0.6872104305877775,53440.486149000004,0.474954,0.6657523919515553
1,2022-04-02,23,16768.316650000004,0.5606408022477317,26,11813.53293,0.6178103826557837,16699.525799000003,0.6723476999334806,0.6047771223942497
2,2022-04-03,13,1821.0377,0.5424777850562896,19,3214.8416669999997,0.6059888174268834,2936.0305980000003,0.546108254449203,0.6197057760916272
3,2022-04-04,6,1207.8121,0.5909570280012925,13,7714.513668000001,0.6421392084051201,5667.556748999999,0.6201505038089773,0.5966714285714286
4,2022-04-05,3,2415.7658,0.607856624181036,8,9078.375246,0.6871286139828285,7706.450644,0.6618441028421902,0.6474910360465784
5,2022-04-06,1,100.1338,0.6464636915806651,3,6799.483983,0.7623170247859087,5248.095266,0.7160387573862931,0.7634500075335242
6,2022-04-07,4,1131.4079000000002,0.7329760778583921,1,1.224333,0.8167712542257703,830.294925,0.8167712542257703,0.7285501061294961
7,2022-04-08,0,0.0,0.0,2,1473.989618,0.8141507818951272,1200.0498,0.8068222119999129,0.8144657134382275
8,2022-04-09,4,4279.4863,0.7474840125086977,8,5348.132286,0.8274856460796228,7624.350291000001,0.8224931216760744,0.8316550016353639
9,2022-04-10,0,0.0,0.0,1,6.595644,0.8338836965730716,5.5,0.8338836965730716,0.8338836965730716
